date,open,high,low,close,adj_close,volume,current_ratio,long-term_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pre-tax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe_-_return_on_equity,return_on_tangible_equity,roa_-_return_on_assets,roi_-_return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share,is_day_start_market,is_day_end_market,day_of_week,SMA_5,SMA_10,SMA_20,SMA_50,EMA_5,EMA_10,EMA_20,EMA_50,ATR_14,ADX_14,CCI_14,ROC_10,RSI_14
2016-06-10,24.6325,24.8375,24.620001,24.7075,23.081377,126851600,1.3116,0.3527,0.6712,38.0235,23.8562,23.8562,0.0,24.7155,18.405,0.1386,14.3375,2.2245,40.4594,6.1608,6.6195,2.551,3.9881,5.866,0.5077,0.376,0,1,5,24.75399999999997,24.734749999999984,24.320249849999996,25.125849940000013,24.742936916023027,24.658245679524686,24.533136128741745,24.80021317409462,0.44516184725269425,23.280236628799486,9.010680521548375,-1.5735523723313438,52.669233550174496
2016-06-13,24.672501,24.780001,24.275,24.334999,22.733387,152082000,1.3116,0.3527,0.6712,38.0235,23.8562,23.8562,0.0,24.7155,18.405,0.1386,14.3375,2.2245,40.4594,6.1608,6.6195,2.551,3.9881,5.866,0.5077,0.376,1,0,1,24.689499999999967,24.659499899999982,24.405499849999995,25.06259994000001,24.606957610682016,24.599473555974743,24.514265926004438,24.78196948099287,0.44943607244893036,22.237912767968826,-98.12769398282677,-2.9995057299451844,46.4603854483717
2016-06-14,24.33,24.620001,24.1875,24.365,22.761415,127727600,1.3116,0.3527,0.6712,38.0235,23.8562,23.8562,0.0,24.7155,18.405,0.1386,14.3375,2.2245,40.4594,6.1608,6.6195,2.551,3.9881,5.866,0.5077,0.376,0,0,2,24.610999999999965,24.599499899999984,24.450249899999996,24.994299920000007,24.52630507378801,24.55684200034297,24.500050123527824,24.76561773664021,0.44822642441686383,21.05108560544153,-124.84660552580463,-2.4033647105948353,47.00226691983243
2016-06-15,24.455,24.602501,24.2575,24.285,22.68668,117780800,1.3116,0.3527,0.6712,38.0235,23.8562,23.8562,0.0,24.7155,18.405,0.1386,14.3375,2.2245,40.4594,6.1608,6.6195,2.551,3.9881,5.866,0.5077,0.376,0,0,3,24.520999799999963,24.566499899999982,24.495874949999994,24.93094994000001,24.445870049192006,24.507416182098794,24.47956915938232,24.746769982262162,0.4408531798156593,19.94903181166618,-103.17328647095296,-1.3406459475929222,45.67473777841306
2016-06-16,24.112499,24.4375,24.0175,24.387501,22.782436,125307200,1.3116,0.3527,0.6712,38.0235,23.8562,23.8562,0.0,24.7155,18.405,0.1386,14.3375,2.2245,40.4594,6.1608,6.6195,2.551,3.9881,5.866,0.5077,0.376,0,0,4,24.415999999999965,24.562249999999985,24.533250049999996,24.86389996000001,24.42641369946134,24.485613421717193,24.47080076325067,24.732681002565606,0.4393636669716838,18.743645117117204,-111.54332150231792,-0.17396234138353783,47.71246580737482
2016-06-17,24.155001,24.1625,23.825001,23.8325,22.263964,244032800,1.3116,0.3527,0.6712,38.0235,23.8562,23.8562,0.0,24.7155,18.405,0.1386,14.3375,2.2245,40.4594,6.1608,6.6195,2.551,3.9881,5.866,0.5077,0.376,0,1,5,24.240999999999964,24.497499999999985,24.547375099999993,24.797849960000008,24.22844246630756,24.36686552685952,24.410010214369652,24.69737978677872,0.44815911933084923,18.084021966929697,-174.58083149887386,-2.6450163398692883,39.14955266834697
2016-06-20,24.0,24.1425,23.7575,23.775,22.210251,137647600,1.3116,0.3527,0.6712,38.0235,23.8562,23.8562,0.0,24.7155,18.405,0.1386,14.3375,2.2245,40.4594,6.1608,6.6195,2.551,3.9881,5.866,0.5077,0.376,1,0,1,24.129000199999968,24.409250099999987,24.545875099999993,24.730049940000008,24.077294977538372,24.25925361288506,24.34953305109635,24.661208030434455,0.4436477536643598,17.62960921829347,-159.6307036808755,-3.579028838245124,38.38101545711807
2016-06-21,23.735001,24.0875,23.67,23.977501,22.399418,142185600,1.3116,0.3527,0.6712,38.0235,23.8562,23.8562,0.0,24.7155,18.405,0.1386,14.3375,2.2245,40.4594,6.1608,6.6195,2.551,3.9881,5.866,0.5077,0.376,0,0,2,24.05150039999997,24.331250199999985,24.53937514999999,24.66449998000001,24.044030318358914,24.208025865087777,24.314101427182415,24.63439599002526,0.4417800569740482,17.41584624571057,-128.94966600164724,-3.150556397051396,42.65083212017366
2016-06-22,24.0625,24.2225,23.8375,23.887501,22.315344,116876400,1.3116,0.3527,0.6712,38.0235,23.8562,23.8562,0.0,24.7155,18.405,0.1386,14.3375,2.2245,40.4594,6.1608,6.6195,2.551,3.9881,5.866,0.5077,0.376,0,0,3,23.97200059999997,24.246500199999986,24.51000019999999,24.590049980000007,23.991853878905943,24.149748616889998,24.273472815069805,24.605105990416426,0.43772433861875915,16.791506074894762,-95.68249421647498,-3.4263188426796543,41.28167886773517
2016-06-23,23.985001,24.0725,23.8125,24.025,22.443794,128960800,1.3116,0.3527,0.6712,38.0235,23.8562,23.8562,0.0,24.7155,18.405,0.1386,14.3375,2.2245,40.4594,6.1608,6.6195,2.551,3.9881,5.866,0.5077,0.376,0,0,4,23.899500399999972,24.157750199999988,24.466000149999992,24.51034998000001,24.002902585937296,24.127067050182724,24.24980873744411,24.582356735890293,0.4250297430031336,16.278723424292366,-83.1871658875416,-3.5624686402408567,44.2273711881088
